45,신복현대아파트,정문입구 우체통 옆,울산광역시 남구 신복로72번길 29,35.55151696,129.2532523,052-249-9040
46,신정푸르지오아파트,후문 보안실 입구,울산광역시 남구 팔등로 85,35.54701568,129.3137217,052-256-7739
47,신정푸르지오아파트,정문 입구 보안실 앞,울산광역시 남구 팔등로 85,35.54701568,129.3137217,052-256-7739
48,신정현대홈타운2단지,관리동 1층 관리사무실 내,울산광역시 남구 대암로 82,35.52899006,129.32331829999998,052-227-7061
49,신정현대홈타운3단지,1층 관리사무소 출입문 안쪽 벽면,울산광역시 남구 수암로129번길 25,35.53065266,129.3228901,052-260-1706
50,신정현대홈타운4단지아파트,1층 관리사무소 현관 입구,울산광역시 남구 대암로 51,35.53174271,129.32262169999998,052-269-5497
51,쌍용스윗닷홈아파트,1초소 경비실 내부,울산광역시 남구 야음로 33,35.52551368,129.3230417,052-227-5451
52,옥현으뜸마을주공3단지,관리동 1층 관리사무실 내,울산광역시 남구 옥현로 34,35.53936211,129.25870659999998,052-247-3450
53,옥현주공1단지아파트,관리동 1층 복도,울산광역시 남구 옥현로 92-13,35.54630095,129.2630953,052-222-2926
54,옥현주공2단지아파트,단지내 관리동 2층 복도,울산광역시 남구 옥현로 92-12,35.54269809,129.2624427,052-222-2927
55,울산 달동주공1단지아파트,아파트 정문 경비실,울산광역시 남구 번영로107번길 22,35.53454761,129.3257583,052-269-9396
56,울산 달동주공2단지아파트,관리사무소 내 벽면,울산광역시 남구 번영로107번길 5,35.53298354,129.3266832,052-266-6697
57,울산남구도시관리공단,고래문화마을 사무실 입구,울산광역시 남구 장생포고래로 244,35.50272735,129.382351,052-226-0900
58,울산남구도시관리공단,남구국민체육센터 1층 안내데스크,울산광역시 남구 여천로 38,35.52283922,129.3379632,052-226-0900
59,울산달동주공3단지아파트,1층 관리사무소 내,울산광역시 남구 번영로107번길 5,35.53298354,129.3266832,052-275-4125
60,울산시남구청,1층 종합민원실 출입문옆,울산광역시 남구 달동 1320,35.54386001,129.3302851,052-226-4884
61,울산시설공단 가족문화센터,가족문화센터 B동 1층로비 안내대,울산광역시 남구 대공원로 84,35.53196009,129.29054150000002,052-269-6372
62,울산시설공단 가족문화센터,가족문화센터 A동 1층로비 동편,울산광역시 남구 대공원로 84,35.53196009,129.29054150000002,052-269-6372
63,울산시설공단 근로자종합복지회관,근로자종합복지회관 1층 로비 안내데스트 옆,울산광역시 남구 삼산중로 144,35.54611935,129.3364562,052-227-4103
64,울산시설공단 문화공원,문화공원안내소 내,울산광역시 남구 돋질로 211,35.543956200000004,129.3281998,052-267-8743
65,울산시설공단 여성인력개발센터,여성인력개발센터 1층 로비,울산광역시 남구 정동로20번길 24,35.53528447,129.3466892,052-258-8061
66,울산시설공단 울산대공원,생태여행관 로비,울산광역시 남구 대공원로 94,35.53098401,129.2939177,052-226-0453
67,울산시설공단 울산대공원,울산대공원 남문 청원경찰실,울산광역시 남구 대공원로 94,35.52766252,129.2911777,052-226-0453
68,울산시설공단 울산대공원,울산대공원 정문 수영장 로비,울산광역시 남구 대공원로 94,35.5310835,129.2938269,052-226-0453
69,울산시설공단 울산대공원,울산대공원 동물원 사무실내,울산광역시 남구 대공원로 94,35.52996036,129.27702340000002,052-226-0453
70,울산시설공단 울산대공원,대공원 동문 청원경찰실,울산광역시 남구 대공원로 94,35.53008758,129.3076489,052-226-0453
71,울산시설공단 종하체육관,종하체육관,울산광역시 남구 봉월로38번길 32,35.53661289,129.3101994,052-273-0286
72,울산시설관리공단,축구경기장1층 현관 로비입구,울산광역시 남구 문수로 44,35.53492279,129.2590274,052-220-2509
73,울산시설관리공단,문수실내수영장 1층 로비,울산광역시 남구 문수로 44,35.53259708,129.2622494,052-220-2509
74,울산시설관리공단,문수야구장 1루 덕아웃,울산광역시 남구 문수로 44,35.53199641,129.2659253,052-220-2509
75,울산시설관리공단,문수야구장 3루 덕아웃,울산광역시 남구 문수로 44,35.53197881,129.2659028,052-220-2509
76,울산시청식의약안전과,울산시청1층 본관 당직실 앞,울산광역시 남구 중앙로 201,35.539460600000005,129.3115445,052-229-3553
77,울산시청식의약안전과,울산시청1층 민원봉사실 앞,울산광역시 남구 중앙로 201,35.539492100000004,129.31154540000003,052-229-3553
78,울산아데라움아파트,1층 관리사무소 내,울산광역시 남구 강남로 348,35.54596023,129.3455759,052-258-9405
79,병영삼일아파트,관리사무소,울산광역시 중구 남외로 88,35.568351,129.345903,052-290-4324
80,병영삼일아파트,101동 경비실,울산광역시 중구 남외로 88,35.568351,129.345903,052-290-4324
81,병영삼일아파트,102동 경비실,울산광역시 중구 남외로 88,35.568351,129.345903,052-290-4324
82,병영삼일아파트,201동 경비실,울산광역시 중구 남외로 88,35.568351,129.345903,052-290-4324
83,문수데시앙2단지 아파트,관리사무소,울산광역시 울주군 청량면 율리영해2길 7,35.526359,129.241994,052-219-8452
84,문수데시앙2단지 아파트,정문 경비실,울산광역시 울주군 청량면 율리영해2길 7,35.526359,129.241994,052-219-8452
85,문수데시앙3단지 아파트,관리사무소,울산광역시 울주군 청량면 율리영해로 13-9,35.526359,129.241994,052-219-8455
86,문수데시앙3단지 아파트,정문 경비실,울산광역시 울주군 청량면 율리영해로 13-9,35.526359,129.241994,052-219-8455
87,울산도시공사사옥,2층 복도,울산광역시 남구 두왕로 318,35.530661,129.308599,052-219-8444
